"district_code";"doses_administered";"doses_administered_over50";"pop_2019IN010052";"pop_over50_2019IN010052";"pop_2020IN010053";"pop_over50_2020IN010053";"district";"Celková zaočkovanosť";"Zaočkovanosť nad 50 rokov";"joker";"next_joker"
"SK0101";296960;130315;435294;159685;440948;160788;"Bratislava I";0,682205589785295;0,81607539844068;"2";5418
"SK0102";296960;130315;435294;159685;440948;160788;"Bratislava II";0,682205589785295;0,81607539844068;"2";5418
"SK0103";296960;130315;435294;159685;440948;160788;"Bratislava III";0,682205589785295;0,81607539844068;"2";5418
"SK0104";296960;130315;435294;159685;440948;160788;"Bratislava IV";0,682205589785295;0,81607539844068;"2";5418
"SK0105";296960;130315;435294;159685;440948;160788;"Bratislava V";0,682205589785295;0,81607539844068;"2";5418
"SK0106";39621;17462;74323;24986;75325;25601;"Malacky";0,533092044185515;0,698871367966061;"1";1278
"SK0107";38898;17098;65145;21867;66174;22462;"Pezinok";0,597098779645406;0,781908812365665;"2";1489
"SK0108";55862;20622;89832;25893;94577;27249;"Senec";0,621849674948793;0,796431467964315;"2";1388
"SK0211";74882;36132;122358;44587;123355;45609;"Dunajská Streda";0,611991042678043;0,810370735864714;"2";1767
"SK0212";51576;25749;94076;34765;94179;35461;"Galanta";0,548237595135848;0,740658708471164;"1";325
"SK0213";21792;11084;45012;16868;44731;17107;"Hlohovec";0,484137563316449;0,65710220535926;"1";1568
"SK0214";33029;17528;62802;25349;62626;25643;"Piešťany";0,525922741313971;0,691467119018502;"1";1484
"SK0215";30045;15246;60446;22304;60314;22730;"Senica";0,49705522284353;0,683554519368723;"1";1482
"SK0216";24504;12250;47104;17185;46965;17442;"Skalica";0,520210597826087;0,712830957230143;"1";639
"SK0217";74298;35144;132454;48506;133154;49528;"Trnava";0,560934362118169;0,724528924256793;"1";1236
"SK0221";17106;9119;36281;13772;35972;13989;"Bánovce nad Bebravou";0,471486452964362;0,662140575079872;"1";1210
"SK0222";26510;14369;59187;23016;58811;23246;"Ilava";0,447902411002416;0,62430483142162;"0";592
"SK0223";13863;7784;26356;11104;26062;11179;"Myjava";0,525990286841706;0,701008645533141;"1";544
"SK0224";31076;16513;62553;24646;62572;24928;"Nové Mesto nad Váhom";0,496794718079069;0,670007303416376;"1";1972
"SK0225";20054;11163;45596;18294;45293;18466;"Partizánske";0,439819282393192;0,610200065595277;"0";729
"SK0226";29090;15029;62438;23306;61993;23573;"Považská Bystrica";0,465902174957558;0,644855402042393;"0";120
"SK0227";58924;32039;133979;53697;132891;54224;"Prievidza";0,439800267206055;0,596662755833659;"0";2865
"SK0228";19949;9999;44309;16265;44136;16437;"Púchov";0,450224559344603;0,614755610205964;"0";574
"SK0229";61380;30909;114523;44013;114837;44541;"Trenčín";0,535962208464675;0,702269783927476;"1";2101
"SK0231";52644;29020;101711;40411;100992;40869;"Komárno";0,517584135442578;0,718121303605454;"1";1289
"SK0232";55814;30053;110824;43516;110040;43926;"Levice";0,503627373132174;0,690619542237338;"1";2584
"SK0233";85348;42112;161560;60132;161499;60617;"Nitra";0,528274325328052;0,700325949577596;"1";2987
"SK0234";70580;37955;139004;55574;137778;56141;"Nové Zámky";0,507755172513021;0,682963256198942;"1";3726
"SK0235";27812;14419;51685;19645;51309;19965;"Šaľa";0,53810583341395;0,733978111478748;"1";315
"SK0236";30921;16913;70131;27260;69521;27567;"Topoľčany";0,440903452111049;0,620432868672047;"0";807
"SK0237";18884;10051;40572;15915;40369;16055;"Zlaté Moravce";0,465444148673962;0,631542569902608;"0";294
"SK0311";14629;6606;30917;10092;31056;10323;"Bytča";0,473170100591907;0,654577883472057;"1";964
"SK0312";37996;17564;90080;30474;89494;30911;"Čadca";0,421802841918295;0,576360175887642;"0";2245
"SK0313";20412;9878;39456;13666;39480;13937;"Dolný Kubín";0,517335766423358;0,722815747109615;"1";372
"SK0314";14019;6722;32914;11426;32890;11604;"Kysucké Nové Mesto";0,425928176459865;0,588307369158061;"0";705
"SK0315";36100;19140;72260;28168;72054;28534;"Liptovský Mikuláš";0,499584832549128;0,679494461800625;"1";1987
"SK0316";46664;24361;96338;36916;95921;37336;"Martin";0,484377919408748;0,65990356484993;"1";3326
"SK0317";29363;11326;62663;15976;63268;16532;"Námestovo";0,468585927900037;0,708938407611417;"1";656
"SK0318";30457;14934;56702;21034;56536;21292;"Ružomberok";0,537141547035378;0,709993344109537;"1";842
"SK0319";7774;4304;15884;6407;15854;6490;"Turčianske Teplice";0,489423319063208;0,671765256750429;"1";502
"SK031A";16267;7398;36180;11282;36127;11563;"Tvrdošín";0,449613045881703;0,65573479879454;"1";1064
"SK031B";84547;40126;158043;55717;158456;56622;"Žilina";0,534962004011566;0,72017517095321;"1";1662
"SK0321";59367;30791;110828;44025;110631;44524;"Banská Bystrica";0,535667881762731;0,699398069278819;"1";2228
"SK0322";7750;3982;16086;6061;16003;6088;"Banská Štiavnica";0,481785403456422;0,656987295825771;"1";564
"SK0323";25157;14219;61449;23874;60905;24059;"Brezno";0,409396410031083;0,595585155399179;"0";1300
"SK0324";13148;7102;32051;12486;31771;12555;"Detva";0,410221209946648;0,568797052699023;"0";1014
"SK0325";9317;4836;22182;8019;22050;8118;"Krupina";0,420025245694707;0,603067714178825;"0";377
"SK0326";30574;16453;73466;27042;73071;27244;"Lučenec";0,416165300955544;0,60842393314104;"0";1125
"SK0327";8280;4698;21471;8415;21179;8429;"Poltár";0,385636439849099;0,558288770053476;"0";772
"SK0328";15220;8115;39636;13506;39349;13638;"Revúca";0,383994348572005;0,600844069302532;"0";664
"SK0329";32352;17303;84159;28628;83953;28876;"Rimavská Sobota";0,384415214059102;0,604408271622188;"0";1306
"SK032A";18643;9960;43473;16844;43002;16957;"Veľký Krtíš";0,428840889747659;0,591308477796248;"0";989
"SK032B";35014;18137;68758;26555;68657;26990;"Zvolen";0,509235288984555;0,682997552250047;"1";1780
"SK032C";12456;6542;26152;10198;26054;10295;"Žarnovica";0,47629244417253;0,641498333006472;"0";87
"SK032D";22964;12395;46861;18587;46477;18798;"Žiar nad Hronom";0,490045026781332;0,666863937160381;"1";1546
"SK0411";35680;17922;77771;26010;77666;26469;"Bardejov";0,458782836790063;0,689042675893887;"1";1586
"SK0412";29492;15772;61985;23054;61398;23352;"Humenné";0,475792530450916;0,68413290535265;"1";1519
"SK0413";30216;12861;75235;19151;76165;19812;"Kežmarok";0,401621585698146;0,671557621011958;"1";1503
"SK0414";14581;7134;33702;10707;33730;10933;"Levoča";0,432644946887425;0,66629307929392;"1";897
"SK0415";4878;2906;11841;4682;11708;4688;"Medzilaborce";0,411958449455282;0,620674925245622;"0";138
"SK0416";50438;25273;104913;36797;105015;37387;"Poprad";0,480760248968193;0,686822295295812;"1";2325
"SK0417";90855;43223;175609;58789;176781;59929;"Prešov";0,517370977569487;0,735222575651908;"1";869
"SK0418";28020;12218;60518;16796;61072;17171;"Sabinov";0,463002742985558;0,727435103596094;"1";379
"SK0419";17597;9228;36240;13419;35833;13537;"Snina";0,485568432671082;0,687681645428124;"1";837
"SK041A";22380;10568;53953;15914;54054;16198;"Stará Ľubovňa";0,414805478842696;0,664069372879226;"1";1368
"SK041B";8813;4531;20532;7242;20366;7354;"Stropkov";0,42923241768946;0,625655896161281;"0";177
"SK041C";13445;7071;32564;11471;32334;11711;"Svidník";0,412879253163002;0,616424025804202;"0";386
"SK041D";35087;16702;80766;25003;80906;25510;"Vranov nad Topľou";0,434427853304608;0,667999840019198;"1";2051
"SK0421";11966;6183;31868;10223;31923;10324;"Gelnica";0,375486381322957;0,604812677296293;"0";462
"SK0422";122898;60906;238674;88624;238138;90077;"Košice I";0,514919932627768;0,687240476620329;"1";5562
"SK0423";122898;60906;238674;88624;238138;90077;"Košice II";0,514919932627768;0,687240476620329;"1";5562
"SK0424";122898;60906;238674;88624;238138;90077;"Košice III";0,514919932627768;0,687240476620329;"1";5562
"SK0425";122898;60906;238674;88624;238138;90077;"Košice IV";0,514919932627768;0,687240476620329;"1";5562
"SK0426";56591;26565;129543;39475;131305;40457;"Košice - okolie";0,436851084195981;0,672957568081064;"1";3042
"SK0427";46135;23966;110705;37381;110670;37980;"Michalovce";0,416738178040739;0,641127845697012;"0";332
"SK0428";25957;13999;62208;21859;61944;22136;"Rožňava";0,417261445473251;0,640422709181573;"0";210
"SK0429";9599;4937;22819;8137;22775;8253;"Sobrance";0,420658223410316;0,606734668796854;"0";353
"SK042A";41868;20716;99765;30802;100201;31312;"Spišská Nová Ves";0,419666215606676;0,672553730277255;"1";2386
"SK042B";44662;23256;105353;35480;105136;35815;"Trebišov";0,423927178153446;0,655467869222097;"1";3354
